index,kind,name,codepoint,ink,light,sig
500,symbol,Equalizer,U+E9E9,372,393,ff8607ff0670ff70
501,symbol,Process,U+E9F3,93,129,03000101000f8f8f
502,symbol,Processing,U+E9F5,263,296,3030feff5b1b1f0e
503,symbol,ReportDocument,U+E9F9,348,440,ffffcfc3e3e3e37f
504,symbol,VideoSolid,U+EA0C,549,551,007fffffff7f0000
505,symbol,Shield,U+EA18,154,197,c68301010101c7fe
506,symbol,Info2,U+EA1F,135,194,3030303030303030
507,symbol,ActionCenterAsterisk,U+EA21,84,104,0000000002070707
508,symbol,Beta,U+EA24,413,450,fcccec7c3c7c7c3c
509,symbol,SaveCopy,U+EA35,506,580,dfffff8f8fffffff
510,symbol,List,U+EA37,266,324,7f3f00ff00ffff00
511,symbol,Asterisk,U+EA38,276,314,33fe7c7cfe333030
512,symbol,ErrorBadge,U+EA39,253,291,436d39396d4387fe
513,symbol,CircleRing,U+EA3A,133,161,03010101010387fe
514,symbol,CircleFill,U+EA3B,938,948,fffffffffffffefc
515,symbol,Record2,U+EA3F,133,161,03010101010387fe
516,symbol,Breakpoint,U+EA42,288,416,ffffffffffffff00
517,symbol,SyncError,U+EA6A,238,264,d3f7f0e0810387fe
518,symbol,Devices3,U+EA6C,312,354,7ffd050703fffe00
519,symbol,SlowMotionOn,U+EA79,253,295,00c3ffefc3fe3800
520,symbol,Lightbulb,U+EA80,233,280,7c6cc6828382c67c
521,symbol,StatusCircle,U+EA81,192,200,f0f0f0e000000000
522,symbol,StatusTriangle,U+EA82,89,100,e0c0c08000000000
523,symbol,StatusError,U+EA83,46,55,c0e0200000000000
524,symbol,StatusWarning,U+EA84,21,21,c0c0000000000000
525,symbol,VolumeDisabled,U+EA85,182,212,ccccccccfc000000
526,symbol,Puzzle,U+EA86,259,312,dc86c7c786dcdc70
527,symbol,Puzzle,U+EA86,259,312,dc86c7c786dcdc70
528,symbol,CalendarSolid,U+EA89,867,903,ffffffffffffffff
529,symbol,HomeMirrored,U+EA8A,579,613,cffffffffe7c3810
530,symbol,HomeMirrored,U+EA8A,579,613,cffffffffe7c3810
531,symbol,ContactSolid,U+EA8C,720,744,fefefcfefefefefc
532,symbol,Ringer,U+EA8F,234,255,ff8686868686fc78
533,symbol,PDF,U+EA90,487,561,ffffffffffc1c1ff
534,symbol,ThoughtBubble,U+EA91,225,265,06f8ce030103cef8
535,symbol,HeartBroken,U+EA92,234,337,ecf6f3713939ffee
536,symbol,BatteryCharging10,U+EA93,398,439,ffffffffff000000
537,symbol,Broom,U+EA99,236,271,767b4f677cc08000
538,symbol,Market,U+EAFC,134,155,01237edc80c0c000
539,symbol,PieSingle,U+EB05,289,338,0101f1f1f1737efc
540,symbol,StockDown,U+EB0F,337,388,3038787cfcfefe00
541,symbol,StockUp,U+EB11,313,337,fefc7c7838300000
542,symbol,Design,U+EB3C,331,457,dfeff7d9cdc7c3c1
543,symbol,Website,U+EB41,220,274,0301f7ff010387fe
544,symbol,Drop,U+EB42,516,544,fefefefc7c783830
545,symbol,Radar,U+EB44,386,475,ff7f3f3f7ffffffe
546,symbol,BusSolid,U+EB47,702,741,ffffff11ffffffff
547,symbol,FerrySolid,U+EB48,578,608,fffffffffe7c3800
548,symbol,AirplaneSolid,U+EB4C,445,486,3831ffffff383818
549,symbol,TrainSolid,U+EB4D,608,686,ffffff03ffffffff
550,symbol,WorkSolid,U+EB4E,749,812,ffffffffffffff78
551,symbol,ReminderFill,U+EB4F,616,644,387cfcfefefefe7c
552,symbol,Reminder,U+EB50,277,347,7c6cc6bafbc2c67c
553,symbol,Heart,U+EB51,181,258,ecc683010131ffce
554,symbol,HeartFill,U+EB52,810,849,fcfeffffffffffee
555,symbol,EthernetError,U+EB55,351,406,d3ff73e70707ff00
556,symbol,EthernetWarning,U+EB56,341,387,e3ffc3870707ff00
557,symbol,StatusConnecting1,U+EB57,80,98,0000000003090d0f
558,symbol,StatusConnecting2,U+EB58,19,26,00000000040c0000
559,symbol,StatusUnsecure,U+EB59,229,245,000000060f1f1f1f
560,symbol,WifiError0,U+EB5A,95,125,c0c060d070e08000
561,symbol,WifiWarning0,U+EB5F,132,164,c0f060d870e08000
562,symbol,Devices4,U+EB66,406,505,fcff1ffff3f3ffff
563,symbol,NUIIris,U+EB67,294,323,787878b7eefc3000
564,symbol,NUIFace,U+EB68,207,247,7cfe8600ccec4400
